[-97.7437, 30.271129]
[-94.977427, 29.735505]
[-101.478736, 32.250398]
[-94.101846, 30.086046]
[4.446241, 51.212845]
[-97.394205, 27.795148]
[-95.12382, 29.705228]
[-106.4410954, 31.7867031]
[-94.794588, 29.299328]
[-95.367697, 29.758938]
[-74.380377, 40.506766]
[-95.209101, 29.691063]
[-93.928872, 29.898862]
[-98.495141, 29.4246]
[-94.177963, 30.349098]
[35.173806, 48.55502]
[-95.697734, 29.042859]
[-94.917549, 29.396013]
[-85.634622, 41.944272]
[-76.697176, 39.929291]
[-91.18738, 30.44596]
[-89.990625, 29.854929]
[-89.962937, 29.942789]
[-119.783903, 39.484387]
[-93.417672, 32.819309]
[-90.619255, 30.056035]
[-91.752893, 30.536859]
[-93.2053418, 30.2063657]
[-89.923949, 29.930653]
[-117.55089, 33.932331]
[-91.210108, 30.452135]
[-74.659296, 40.349274]
[-93.765194, 32.522183]
[-90.323135, 29.946872]
[-118.340629, 33.835849]
[-118.27282, 34.062923]
